name,cases,date,day,diff
Algeria,17,2020-03-04,-10,NA
Algeria,20,2020-03-08,-9,1.1764705882352942
Algeria,24,2020-03-12,-8,1.2
Algeria,45,2020-03-15,-7,1.875
Algeria,60,2020-03-16,-6,1.3333333333333333
Algeria,67,2020-03-18,-5,1.1166666666666667
Algeria,82,2020-03-19,-4,1.2238805970149254
Andorra,53,2020-03-19,-4,NA
Andorra,74,2020-03-20,-3,1.3962264150943395
Argentina,21,2020-03-12,-7,NA
Argentina,31,2020-03-13,-6,1.4761904761904763
Argentina,45,2020-03-15,-5,1.4516129032258065
Argentina,56,2020-03-16,-4,1.2444444444444445
Argentina,65,2020-03-17,-3,1.1607142857142858
Argentina,79,2020-03-18,-2,1.2153846153846153
Argentina,97,2020-03-19,-1,1.2278481012658229
Argentina,128,2020-03-20,0,1.3195876288659794
Armenia,52,2020-03-17,-2,NA
Armenia,78,2020-03-18,-1,1.5
Armenia,115,2020-03-19,0,1.4743589743589745
Armenia,136,2020-03-20,1,1.182608695652174
Australia,23,2020-02-26,-10,NA
Australia,25,2020-02-28,-9,1.0869565217391304
Australia,29,2020-03-01,-8,1.16
Australia,31,2020-03-02,-7,1.0689655172413792
Australia,43,2020-03-04,-6,1.3870967741935485
Australia,60,2020-03-05,-5,1.3953488372093024
Australia,61,2020-03-06,-4,1.0166666666666666
Australia,74,2020-03-07,-3,1.2131147540983607
Australia,80,2020-03-08,-2,1.0810810810810811
Australia,91,2020-03-09,-1,1.1375
Australia,101,2020-03-10,0,1.10989010989011
Australia,127,2020-03-11,1,1.2574257425742574
Australia,156,2020-03-12,2,1.2283464566929134
Australia,247,2020-03-14,3,1.5833333333333333
Australia,262,2020-03-15,4,1.0607287449392713
Australia,383,2020-03-16,5,1.4618320610687023
Australia,568,2020-03-18,6,1.483028720626632
Australia,710,2020-03-19,7,1.25
Australia,800,2020-03-20,8,1.1267605633802817
Australia,1056,2020-03-21,9,1.32
Austria,9,2020-02-29,-7,NA
Austria,14,2020-03-01,-6,1.5555555555555556
Austria,18,2020-03-02,-5,1.2857142857142858
Austria,29,2020-03-04,-4,1.6111111111111112
Austria,37,2020-03-05,-3,1.2758620689655173
Austria,55,2020-03-06,-2,1.4864864864864864
Austria,79,2020-03-07,-1,1.4363636363636363
Austria,104,2020-03-08,0,1.3164556962025316
Austria,112,2020-03-09,1,1.0769230769230769
Austria,182,2020-03-10,2,1.625
Austria,246,2020-03-11,3,1.3516483516483517
Austria,302,2020-03-12,4,1.2276422764227641
Austria,422,2020-03-13,5,1.3973509933774835
Austria,655,2020-03-14,6,1.552132701421801
Austria,800,2020-03-15,7,1.2213740458015268
Austria,959,2020-03-16,8,1.19875
Austria,1332,2020-03-17,9,1.388946819603754
Austria,1471,2020-03-18,10,1.1043543543543544
Austria,2013,2020-03-19,11,1.3684568320870156
Austria,2203,2020-03-20,12,1.0943864878291107
Austria,2666,2020-03-21,13,1.2101679527916478
Bahrain,38,2020-02-28,-6,NA
Bahrain,41,2020-02-29,-5,1.0789473684210527
Bahrain,47,2020-03-01,-4,1.146341463414634
Bahrain,49,2020-03-02,-3,1.0425531914893618
Bahrain,62,2020-03-07,-2,1.2653061224489797
Bahrain,79,2020-03-08,-1,1.2741935483870968
Bahrain,109,2020-03-09,0,1.379746835443038
Bahrain,110,2020-03-10,1,1.0091743119266054
Bahrain,195,2020-03-11,2,1.7727272727272727
Bahrain,197,2020-03-13,3,1.0102564102564102
Bahrain,212,2020-03-15,4,1.0761421319796953
Bahrain,221,2020-03-16,5,1.0424528301886793
Bahrain,242,2020-03-17,6,1.0950226244343892
Bahrain,279,2020-03-19,7,1.1528925619834711
Belgium,50,2020-03-05,-1,NA
Belgium,109,2020-03-06,0,2.18
Belgium,169,2020-03-07,1,1.5504587155963303
Belgium,200,2020-03-08,2,1.183431952662722
Belgium,239,2020-03-09,3,1.195
Belgium,267,2020-03-10,4,1.1171548117154813
Belgium,314,2020-03-11,5,1.1760299625468165
Belgium,399,2020-03-13,6,1.2707006369426752
Belgium,689,2020-03-14,7,1.7268170426065164
Belgium,1085,2020-03-16,8,1.5747460087082727
Belgium,1243,2020-03-17,9,1.1456221198156682
Belgium,1486,2020-03-18,10,1.1954947707160097
Belgium,1795,2020-03-19,11,1.2079407806191118
Bosnia,21,2020-03-15,-7,NA
Bosnia,24,2020-03-16,-6,1.1428571428571428
Bosnia,26,2020-03-17,-5,1.0833333333333333
Bosnia,34,2020-03-18,-4,1.3076923076923077
Bosnia,36,2020-03-19,-3,1.0588235294117647
Bosnia,69,2020-03-20,-2,1.9166666666666667
Bosnia,90,2020-03-21,-1,1.3043478260869565
Brazil,8,2020-03-05,-7,NA
Brazil,13,2020-03-06,-6,1.625
Brazil,17,2020-03-07,-5,1.3076923076923077
Brazil,25,2020-03-08,-4,1.4705882352941178
Brazil,34,2020-03-10,-3,1.36
Brazil,52,2020-03-11,-2,1.5294117647058822
Brazil,76,2020-03-13,-1,1.4615384615384615
Brazil,121,2020-03-15,0,1.5921052631578947
Brazil,234,2020-03-16,1,1.9338842975206612
Brazil,329,2020-03-17,2,1.4059829059829059
Brazil,509,2020-03-18,3,1.547112462006079
Brazil,635,2020-03-19,4,1.2475442043222005
Brazil,904,2020-03-20,5,1.4236220472440946
Brazil,977,2020-03-21,6,1.0807522123893805
Brunei,68,2020-03-19,-6,NA
Brunei,73,2020-03-20,-5,1.0735294117647058
Brunei,78,2020-03-21,-4,1.0684931506849316
Bulgaria,41,2020-03-15,-5,NA
Bulgaria,51,2020-03-16,-4,1.2439024390243902
Bulgaria,67,2020-03-17,-3,1.3137254901960784
Bulgaria,81,2020-03-18,-2,1.208955223880597
Bulgaria,94,2020-03-19,-1,1.1604938271604939
Bulgaria,112,2020-03-20,0,1.1914893617021276
Canada,11,2020-02-24,-14,NA
Canada,12,2020-02-26,-13,1.0909090909090908
Canada,14,2020-02-27,-12,1.1666666666666667
Canada,16,2020-02-28,-11,1.1428571428571428
Canada,20,2020-02-29,-10,1.25
Canada,24,2020-03-01,-9,1.2
Canada,27,2020-03-02,-8,1.125
Canada,33,2020-03-04,-7,1.2222222222222223
Canada,37,2020-03-05,-6,1.121212121212121
Canada,48,2020-03-06,-5,1.2972972972972974
Canada,60,2020-03-07,-4,1.25
Canada,64,2020-03-08,-3,1.0666666666666667
Canada,67,2020-03-09,-2,1.046875
Canada,72,2020-03-10,-1,1.0746268656716418
Canada,102,2020-03-11,0,1.4166666666666667
Canada,109,2020-03-12,1,1.0686274509803921
Canada,247,2020-03-14,2,2.2660550458715596
Canada,373,2020-03-16,3,1.5101214574898785
Canada,531,2020-03-17,4,1.4235924932975872
Canada,694,2020-03-18,5,1.3069679849340867
Canada,863,2020-03-19,6,1.2435158501440922
Canada,906,2020-03-20,7,1.0498261877172654
Canada,1075,2020-03-21,8,1.1865342163355408
Chile,10,2020-03-08,-5,NA
Chile,17,2020-03-11,-4,1.7
Chile,23,2020-03-12,-3,1.3529411764705883
Chile,33,2020-03-13,-2,1.434782608695652
Chile,61,2020-03-15,-1,1.8484848484848484
Chile,156,2020-03-16,0,2.557377049180328
Chile,201,2020-03-17,1,1.2884615384615385
Chile,238,2020-03-18,2,1.1840796019900497
Chile,434,2020-03-20,3,1.8235294117647058
Colombia,24,2020-03-15,-4,NA
Colombia,45,2020-03-16,-3,1.875
Colombia,57,2020-03-17,-2,1.2666666666666666
Colombia,75,2020-03-18,-1,1.3157894736842106
Colombia,102,2020-03-19,0,1.36
Colombia,128,2020-03-20,1,1.2549019607843137
Costa Rica,23,2020-03-13,-9,NA
Costa Rica,27,2020-03-15,-8,1.173913043478261
Costa Rica,35,2020-03-16,-7,1.2962962962962963
Costa Rica,41,2020-03-17,-6,1.1714285714285715
Costa Rica,50,2020-03-18,-5,1.2195121951219512
Costa Rica,69,2020-03-19,-4,1.38
Costa Rica,87,2020-03-20,-3,1.2608695652173914
Croatia,6,2020-02-29,-12,NA
Croatia,7,2020-03-01,-11,1.1666666666666667
Croatia,8,2020-03-02,-10,1.1428571428571428
Croatia,9,2020-03-04,-9,1.125
Croatia,10,2020-03-05,-8,1.1111111111111112
Croatia,12,2020-03-09,-7,1.2
Croatia,19,2020-03-12,-6,1.5833333333333333
Croatia,27,2020-03-13,-5,1.4210526315789473
Croatia,38,2020-03-15,-4,1.4074074074074074
Croatia,56,2020-03-16,-3,1.4736842105263157
Croatia,65,2020-03-17,-2,1.1607142857142858
Croatia,97,2020-03-19,-1,1.4923076923076923
Croatia,110,2020-03-20,0,1.134020618556701
Cyprus,33,2020-03-16,-11,NA
Cyprus,46,2020-03-17,-10,1.393939393939394
Cyprus,49,2020-03-18,-9,1.065217391304348
Cyprus,59,2020-03-19,-8,1.2040816326530612
Cyprus,67,2020-03-20,-7,1.1355932203389831
Czech Republic,19,2020-03-06,-3,NA
Czech Republic,31,2020-03-09,-2,1.631578947368421
Czech Republic,94,2020-03-11,-1,3.032258064516129
Czech Republic,116,2020-03-13,0,1.2340425531914894
Czech Republic,177,2020-03-14,1,1.5258620689655173
Czech Republic,189,2020-03-15,2,1.0677966101694916
Czech Republic,298,2020-03-16,3,1.5767195767195767
Czech Republic,434,2020-03-17,4,1.4563758389261745
Czech Republic,464,2020-03-18,5,1.0691244239631337
Czech Republic,694,2020-03-19,6,1.4956896551724137
Czech Republic,833,2020-03-20,7,1.2002881844380404
Czech Republic,904,2020-03-21,8,1.085234093637455
Denmark,4,2020-03-01,-4,NA
Denmark,10,2020-03-04,-3,2.5
Denmark,15,2020-03-05,-2,1.5
Denmark,0,2020-03-09,-1,0
Denmark,788,2020-03-13,0,Inf
Denmark,804,2020-03-14,1,1.0203045685279188
Denmark,836,2020-03-15,2,1.0398009950248757
Denmark,932,2020-03-16,3,1.1148325358851674
Denmark,1024,2020-03-17,4,1.0987124463519313
Denmark,1091,2020-03-18,5,1.0654296875
Denmark,1223,2020-03-19,6,1.1209899175068745
Denmark,1335,2020-03-20,7,1.0915780866721176
Denmark*,617,2020-03-12,0,NA
Denmark*,0,2020-03-13,1,0
Diamond Princess,634,2020-02-20,0,NA
Diamond Princess,691,2020-02-23,1,1.0899053627760253
